No accelerated colorspace conversion found from yuv420p to bgr24.
time base :  1/90000
Image 2024-03-07_14-46-15-080267.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-15-147000.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-15-213733.png saved in 0.12s (Img: 0.11s, Coords: 0.00s)
Image 2024-03-07_14-46-15-280467.png saved in 0.11s (Img: 0.11s, Coords: 0.00s)
Image 2024-03-07_14-46-15-347200.png saved in 0.11s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-15-413933.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-15-480667.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-15-547400.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-15-614133.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-15-680867.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-15-747600.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-15-814333.png saved in 0.11s (Img: 0.11s, Coords: 0.00s)
Image 2024-03-07_14-46-15-881067.png saved in 0.13s (Img: 0.12s, Coords: 0.00s)
Image 2024-03-07_14-46-15-947800.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-16-014533.png saved in 0.15s (Img: 0.14s, Coords: 0.00s)
Image 2024-03-07_14-46-16-081267.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-16-148000.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-16-214733.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-16-281467.png saved in 0.11s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-16-348200.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-16-414933.png saved in 0.12s (Img: 0.12s, Coords: 0.00s)
Image 2024-03-07_14-46-16-481667.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-16-548400.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-16-615133.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-16-681867.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-16-748600.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-16-815333.png saved in 0.11s (Img: 0.11s, Coords: 0.00s)
Image 2024-03-07_14-46-16-882067.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-16-948800.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-17-015533.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-17-082267.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-17-149000.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-17-215733.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-17-282467.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-17-349200.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-17-415933.png saved in 0.15s (Img: 0.14s, Coords: 0.00s)
Image 2024-03-07_14-46-17-482667.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-17-549400.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-17-616133.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-17-682867.png saved in 0.11s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-17-749600.png saved in 0.11s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-17-816333.png saved in 0.12s (Img: 0.12s, Coords: 0.00s)
Image 2024-03-07_14-46-17-883067.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-17-949800.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-18-016533.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-18-083267.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-18-150000.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-18-216733.png saved in 0.13s (Img: 0.13s, Coords: 0.00s)
Image 2024-03-07_14-46-18-283467.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-18-350200.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-18-416933.png saved in 0.11s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-18-483667.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-18-550400.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-18-617133.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-18-683867.png saved in 0.11s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-18-750600.png saved in 0.11s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-18-817333.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-18-884067.png saved in 0.14s (Img: 0.13s, Coords: 0.00s)
Image 2024-03-07_14-46-18-950800.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-19-017533.png saved in 0.11s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-19-084267.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-19-151000.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-19-217733.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-19-284467.png saved in 0.11s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-19-351200.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-19-417933.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-19-484667.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-19-551400.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-19-618133.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-19-684867.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-19-751600.png saved in 0.12s (Img: 0.12s, Coords: 0.00s)
Image 2024-03-07_14-46-19-818333.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-19-885067.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-19-951800.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-20-018533.png saved in 0.13s (Img: 0.13s, Coords: 0.00s)
Image 2024-03-07_14-46-20-085267.png saved in 0.13s (Img: 0.13s, Coords: 0.00s)
Image 2024-03-07_14-46-20-152000.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-20-218733.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-20-285467.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-20-352200.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-20-418933.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-20-485667.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-20-552400.png saved in 0.13s (Img: 0.12s, Coords: 0.00s)
Image 2024-03-07_14-46-20-619133.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-20-685867.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-20-752600.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-20-819333.png saved in 0.08s (Img: 0.07s, Coords: 0.00s)
Image 2024-03-07_14-46-20-886067.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-20-952800.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-21-019533.png saved in 0.11s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-21-086267.png saved in 0.11s (Img: 0.11s, Coords: 0.00s)
