Time (UTC),Latitude,Longitude,Altitude,Satellites,HDOP,True Heading
2024-03-23 15:35:30.800000,47.168521544499995,-1.2674459908333333,68.178,22,0.6,5.47
2024-03-23 15:35:30.900000,47.16852153666667,-1.2674459428333333,68.181,22,0.6,196.04
2024-03-23 15:35:31,47.16852154333333,-1.2674459618333334,68.183,22,0.6,278.46
2024-03-23 15:35:31.100000,47.168521540499995,-1.267445935,68.197,22,0.6,164.67
2024-03-23 15:35:31.200000,47.16852154633334,-1.267445954,68.191,22,0.6,184.68
2024-03-23 15:35:31.300000,47.16852156616666,-1.2674459661666666,68.200,22,0.6,70.13
2024-03-23 15:35:31.400000,47.168521534499995,-1.2674459850000002,68.194,22,0.6,37.78
2024-03-23 15:35:31.500000,47.16852155966667,-1.267445975,68.195,22,0.6,161.47
2024-03-23 15:35:31.600000,47.168521551000005,-1.2674460088333332,68.189,22,0.6,213.08
2024-03-23 15:35:31.700000,47.16852154199999,-1.2674459848333333,68.206,22,0.6,161.29
2024-03-23 15:35:31.800000,47.168521543,-1.267445993,68.194,22,0.6,238.49
2024-03-23 15:35:31.900000,47.16852151733333,-1.2674459710000001,68.201,22,0.6,171.91
2024-03-23 15:35:32,47.16852153616666,-1.2674459936666667,68.200,22,0.6,232.02
2024-03-23 15:35:32.100000,47.1685215365,-1.2674459738333332,68.202,22,0.6,78.33
2024-03-23 15:35:32.200000,47.16852150500001,-1.2674459975,68.201,22,0.6,299.86
2024-03-23 15:35:32.300000,47.1685215215,-1.267445969,68.199,22,0.6,37.10
2024-03-23 15:35:32.400000,47.16852147816667,-1.2674459459999998,68.210,22,0.6,325.25
2024-03-23 15:35:32.500000,47.16852150383333,-1.267445956,68.208,22,0.6,99.51
2024-03-23 15:35:32.600000,47.168521475666665,-1.2674459986666666,68.209,22,0.6,74.68
2024-03-23 15:35:32.700000,47.16852145916667,-1.2674459746666666,68.220,22,0.6,322.55
2024-03-23 15:35:32.800000,47.168521445,-1.2674460366666667,68.205,22,0.6,186.15
2024-03-23 15:35:32.900000,47.16852145116666,-1.2674460121666666,68.213,22,0.6,219.83
2024-03-23 15:35:33,47.168521431,-1.2674460343333334,68.209,22,0.6,52.00
2024-03-23 15:35:33.100000,47.16852142450001,-1.2674460271666668,68.220,22,0.6,273.77
2024-03-23 15:35:33.200000,47.16852145616667,-1.2674460793333333,68.220,22,0.6,317.75
2024-03-23 15:35:33.300000,47.16852146583333,-1.2674460884999998,68.227,22,0.6,255.75
2024-03-23 15:35:33.400000,47.168521463,-1.2674461413333333,68.216,22,0.6,117.16
2024-03-23 15:35:33.500000,47.1685214555,-1.2674461108333333,68.231,22,0.6,107.25
2024-03-23 15:35:33.600000,47.16852142849999,-1.2674461325,68.225,22,0.6,339.78
2024-03-23 15:35:33.700000,47.168521377,-1.2674460893333332,68.229,22,0.6,226.95
2024-03-23 15:35:33.800000,47.16852137683333,-1.2674461875,68.215,22,0.6,26.79
2024-03-23 15:35:33.900000,47.16852138133333,-1.2674461026666668,68.225,22,0.6,136.31
2024-03-23 15:35:34,47.1685214075,-1.2674461830000001,68.225,22,0.6,269.09
2024-03-23 15:35:34.100000,47.16852139983333,-1.2674461401666666,68.237,22,0.6,86.96
2024-03-23 15:35:34.200000,47.16852140849999,-1.2674461225,68.232,22,0.6,129.06
2024-03-23 15:35:34.300000,47.16852141466667,-1.2674460591666665,68.237,22,0.6,268.71
2024-03-23 15:35:34.400000,47.168521438499994,-1.2674461156666665,68.226,22,0.6,357.16
2024-03-23 15:35:34.500000,47.16852146133333,-1.2674461131666668,68.229,22,0.6,167.17
2024-03-23 15:35:34.600000,47.16852151116667,-1.2674461546666667,68.221,22,0.6,4.66
2024-03-23 15:35:34.700000,47.16852150883333,-1.2674461465,68.238,22,0.6,337.17
2024-03-23 15:35:34.800000,47.168521575999996,-1.2674462901666668,68.230,22,0.6,300.49
2024-03-23 15:35:34.900000,47.16852158666667,-1.2674462671666666,68.240,21,0.7,131.03
2024-03-23 15:35:35,47.16852159183333,-1.2674462583333332,68.246,21,0.7,339.47
2024-03-23 15:35:35.100000,47.16852157933334,-1.267446236,68.247,21,0.7,137.54
2024-03-23 15:35:35.200000,47.168521586833336,-1.2674462566666667,68.248,21,0.7,329.44
2024-03-23 15:35:35.300000,47.168521566500004,-1.2674461836666666,68.257,21,0.7,106.09
2024-03-23 15:35:35.400000,47.16852156516667,-1.267446166,68.264,21,0.7,252.32
2024-03-23 15:35:35.500000,47.168521576333326,-1.2674461851666665,68.268,21,0.7,122.67
